,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
795,T,P97855,sp|P97855|G3BP1_MOUSE,G3bp1,85,17,795,TRUE
1073,T,Q91VR5,sp|Q91VR5|DDX1_MOUSE,Ddx1,64,21,1073,TRUE
692,T,P58252,sp|P58252|EF2_MOUSE,Eef2,44,26,692,TRUE
857,T,Q60865,sp|Q60865|CAPR1_MOUSE,Caprin1,44,18,857,TRUE
919,T,Q6NZJ6-2,sp|Q6NZJ6-2|IF4G1_MOUSE,Eif4g1,39,25,919,FALSE
558,T,P06151,sp|P06151|LDHA_MOUSE,Ldha,37,15,558,TRUE
615,T,P23116,sp|P23116|EIF3A_MOUSE,Eif3a,37,29,615,TRUE
649,T,P42932,sp|P42932|TCPQ_MOUSE,Cct8,36,25,649,FALSE
799,T,Q01320,sp|Q01320|TOP2A_MOUSE,Top2a,36,27,799,TRUE
870,T,Q61140-2,sp|Q61140-2|BCAR1_MOUSE,Bcar1,35,20,870,FALSE
775,T,P80317,sp|P80317|TCPZ_MOUSE,Cct6a,34,14,775,FALSE
581,T,P11983-2,sp|P11983-2|TCPA_MOUSE,Tcp1,33,18,581,FALSE
776,T,P80318,sp|P80318|TCPG_MOUSE,Cct3,32,20,776,FALSE
713,T,P61979-2,sp|P61979-2|HNRPK_MOUSE,Hnrnpk,31,15,713,FALSE
863,T,Q61024,sp|Q61024|ASNS_MOUSE,Asns,30,17,863,FALSE
1148,T,Q9CY58-2,sp|Q9CY58-2|PAIRB_MOUSE,Serbp1,30,14,1148,TRUE
933,T,Q6ZQ58,sp|Q6ZQ58|LARP1_MOUSE,Larp1,28,20,933,FALSE
773,T,P80315,sp|P80315|TCPD_MOUSE,Cct4,26,13,773,FALSE
1098,T,Q99020,sp|Q99020|ROAA_MOUSE,Hnrnpab,26,5,1098,TRUE
1113,T,Q99LF4,sp|Q99LF4|RTCB_MOUSE,D10Wsu52e,26,15,1113,TRUE
788,T,P97379-2,sp|P97379-2|G3BP2_MOUSE,G3bp2,24,9,788,FALSE
888,T,Q61937,sp|Q61937|NPM_MOUSE,Npm1,24,12,888,TRUE
1185,T,Q9EPU0-2,sp|Q9EPU0-2|RENT1_MOUSE,Upf1,24,17,1185,FALSE
772,T,P80314,sp|P80314|TCPB_MOUSE,Cct2,23,17,772,FALSE
931,T,Q6ZQ08-2,sp|Q6ZQ08-2|CNOT1_MOUSE,Cnot1,22,15,931,FALSE
876,T,Q61584-2,sp|Q61584-2|FXR1_MOUSE,Fxr1,21,13,876,TRUE
1068,T,Q8VIJ6,sp|Q8VIJ6|SFPQ_MOUSE,Sfpq,21,13,1068,FALSE
984,T,Q8BK67,sp|Q8BK67|RCC2_MOUSE,Rcc2,20,9,984,FALSE
607,T,P19096,sp|P19096|FAS_MOUSE,Fasn,19,15,607,FALSE
737,T,P62849-2,sp|P62849-2|RS24_MOUSE,Rps24,19,6,737,FALSE
1125,T,Q99PL5-2,sp|Q99PL5-2|RRBP1_MOUSE,Rrbp1,19,9,1125,FALSE
690,T,P57780,sp|P57780|ACTN4_MOUSE,Actn4,18,15,690,FALSE
1062,T,Q8VEK3,sp|Q8VEK3|HNRPU_MOUSE,Hnrnpu,18,12,1062,FALSE
462,T,A3KFU5,tr|A3KFU5|A3KFU5_MOUSE,Pabpc4,17,12,462,FALSE
543,T,O88569-2,sp|O88569-2|ROA2_MOUSE,Hnrnpa2b1,17,10,543,FALSE
676,T,P52479-2,sp|P52479-2|UBP10_MOUSE,Usp10,17,10,676,FALSE
1123,T,Q99PL5,sp|Q99PL5|RRBP1_MOUSE,Rrbp1,17,15,1123,FALSE
603,T,P17225,sp|P17225|PTBP1_MOUSE,Ptbp1,16,8,603,FALSE
976,T,Q8BGQ7,sp|Q8BGQ7|SYAC_MOUSE,Aars,16,12,976,FALSE
771,T,P80313,sp|P80313|TCPH_MOUSE,Cct7,15,12,771,FALSE
865,T,Q61029-2,sp|Q61029-2|LAP2B_MOUSE,Tmpo,15,8,865,FALSE
1103,T,Q99K48,sp|Q99K48|NONO_MOUSE,Nono,15,8,1103,FALSE
951,T,Q7TQH0-2,sp|Q7TQH0-2|ATX2L_MOUSE,Atxn2l,14,12,951,FALSE
1238,T,Q9Z108,sp|Q9Z108|STAU1_MOUSE,Stau1,14,8,1238,FALSE
1247,T,sp|Q9CQE8|CN166_MOUSE,sp|Q9CQE8|CN166_MOUSE,sp|Q9CQE8|CN166_MOUSE,14,7,1247,FALSE
575,T,P11103,sp|P11103|PARP1_MOUSE,Parp1,13,9,575,FALSE
