,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
506,T,Q61140-2,sp|Q61140-2|BCAR1_MOUSE,Bcar1,105,35,506,FALSE
567,T,UPSP:K2CA_HUMAN_contaminant,UPSP:K2CA_HUMAN_contaminant,UPSP:K2CA_HUMAN_contaminant,45,22,567,TRUE
375,T,E9Q557,sp|E9Q557|DESP_MOUSE,Dsp,20,17,375,FALSE
560,T,UPSP:K1CX_HUMAN_contaminant,UPSP:K1CX_HUMAN_contaminant,UPSP:K1CX_HUMAN_contaminant,20,11,560,TRUE
491,T,Q02257,sp|Q02257|PLAK_MOUSE,Jup,16,12,491,FALSE
373,T,D3YXS5,%%tr|D3YXS5|D3YXS5_MOUSE,Gm1305,15,3,373,FALSE
394,T,P06151,sp|P06151|LDHA_MOUSE,Ldha,11,7,394,FALSE
387,T,O70456,sp|O70456|1433S_MOUSE,Sfn,10,7,387,FALSE
559,T,UPSP:K1CQ_HUMAN_contaminant,UPSP:K1CQ_HUMAN_contaminant,UPSP:K1CQ_HUMAN_contaminant,10,7,559,FALSE
564,T,UPSP:K2C4_HUMAN_contaminant,UPSP:K2C4_HUMAN_contaminant,UPSP:K2C4_HUMAN_contaminant,10,3,564,FALSE
512,T,Q62418-2,sp|Q62418-2|DBNL_MOUSE,Dbnl,9,6,512,FALSE
558,T,UPSP:K1CP_HUMAN_contaminant,UPSP:K1CP_HUMAN_contaminant,UPSP:K1CP_HUMAN_contaminant,8,4,558,FALSE
433,T,P38647,sp|P38647|GRP75_MOUSE,Hspa9,7,5,433,FALSE
549,T,Q9QZS8-2,sp|Q9QZS8-2|SH2D3_MOUSE,Sh2d3c,6,5,549,FALSE
556,T,UPSP:K1CM_HUMAN_contaminant,UPSP:K1CM_HUMAN_contaminant,UPSP:K1CM_HUMAN_contaminant,6,3,556,FALSE
442,T,P56480,sp|P56480|ATPB_MOUSE,Atp5b,5,4,442,FALSE
473,T,P63325,sp|P63325|RS10_MOUSE,Rps10,5,3,473,FALSE
384,T,O55029,sp|O55029|COPB2_MOUSE,Copb2,4,3,384,FALSE
388,T,O89112,sp|O89112|LANC1_MOUSE,Lancl1,4,3,388,FALSE
568,T,UPSP:K2CB_HUMAN_contaminant,UPSP:K2CB_HUMAN_contaminant,UPSP:K2CB_HUMAN_contaminant,4,4,568,FALSE
485,T,P97461,sp|P97461|RS5_MOUSE,Rps5,3,3,485,FALSE
