,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
604,T,Q61140-2,sp|Q61140-2|BCAR1_MOUSE,Bcar1,58,25,604,FALSE
571,T,P97855,sp|P97855|G3BP1_MOUSE,G3bp1,18,11,571,FALSE
603,T,Q61024,sp|Q61024|ASNS_MOUSE,Asns,14,10,603,FALSE
600,T,Q60865,sp|Q60865|CAPR1_MOUSE,Caprin1,12,7,600,FALSE
521,T,P62245,sp|P62245|RS15A_MOUSE,Rps15a,11,5,521,FALSE
392,T,O55033,tr|O55033|O55033_MOUSE,Nck2,10,6,392,FALSE
566,T,P86048,sp|P86048|RL10L_MOUSE,Rpl10l,10,3,566,FALSE
432,T,P11983-2,sp|P11983-2|TCPA_MOUSE,Tcp1,9,8,432,FALSE
441,T,P14873,sp|P14873|MAP1B_MOUSE,Map1b,9,9,441,FALSE
477,T,P42932,sp|P42932|TCPQ_MOUSE,Cct8,9,7,477,FALSE
552,T,P63325,sp|P63325|RS10_MOUSE,Rps10,9,3,552,FALSE
563,T,P80318,sp|P80318|TCPG_MOUSE,Cct3,8,6,563,FALSE
597,T,Q60598,sp|Q60598|SRC8_MOUSE,Cttn,8,7,597,FALSE
427,T,P11103,sp|P11103|PARP1_MOUSE,Parp1,7,4,427,FALSE
527,T,P62631,sp|P62631|EF1A2_MOUSE,Eef1a2,7,5,527,FALSE
378,T,gi|51703339|sp|P62988|UBIQ_HUMAN_contaminant,gi|51703339|sp|P62988|UBIQ_HUMAN_contaminant,gi|51703339|sp|P62988|UBIQ_HUMAN_contaminant,6,4,378,FALSE
516,T,P61979-2,sp|P61979-2|HNRPK_MOUSE,Hnrnpk,6,4,516,FALSE
577,T,Q02257,sp|Q02257|PLAK_MOUSE,Jup,6,6,577,FALSE
452,T,P19096,sp|P19096|FAS_MOUSE,Fasn,5,5,452,FALSE
494,T,P52480-2,sp|P52480-2|KPYM_MOUSE,Pkm2,5,4,494,FALSE
499,T,P56959,sp|P56959|FUS_MOUSE,Fus,5,4,499,FALSE
513,T,P61222,sp|P61222|ABCE1_MOUSE,Abce1,5,5,513,FALSE
514,T,P61255,sp|P61255|RL26_MOUSE,Rpl26,5,4,514,FALSE
522,T,P62264,sp|P62264|RS14_MOUSE,Rps14,5,3,522,FALSE
535,T,P62827,sp|P62827|RAN_MOUSE,Ran,5,4,535,FALSE
568,T,P97379-2,sp|P97379-2|G3BP2_MOUSE,G3bp2,5,4,568,FALSE
570,T,P97461,sp|P97461|RS5_MOUSE,Rps5,5,4,570,FALSE
681,T,Q8VIJ6,sp|Q8VIJ6|SFPQ_MOUSE,Sfpq,5,5,681,FALSE
696,T,Q99020,sp|Q99020|ROAA_MOUSE,Hnrnpab,5,4,696,FALSE
719,T,Q9CY58-2,sp|Q9CY58-2|PAIRB_MOUSE,Serbp1,5,4,719,FALSE
471,T,P35700,sp|P35700|PRDX1_MOUSE,Prdx1,4,4,471,FALSE
478,T,P46425,sp|P46425|GSTP2_MOUSE,Gstp2,4,3,478,FALSE
537,T,P62843,sp|P62843|RS15_MOUSE,Rps15,4,3,537,FALSE
538,T,P62849-2,sp|P62849-2|RS24_MOUSE,Rps24,4,3,538,FALSE
551,T,P63276,sp|P63276|RS17_MOUSE,Rps17,4,3,551,FALSE
553,T,P67778,sp|P67778|PHB_MOUSE,Phb,4,3,553,FALSE
559,T,P80313,sp|P80313|TCPH_MOUSE,Cct7,4,3,559,FALSE
601,T,Q60899,sp|Q60899|ELAV2_MOUSE,Elavl2,4,3,601,FALSE
622,T,Q62418-2,sp|Q62418-2|DBNL_MOUSE,Dbnl,4,4,622,FALSE
662,T,Q8BTM8,sp|Q8BTM8|FLNA_MOUSE,Flna,4,4,662,FALSE
701,T,Q99LF4,sp|Q99LF4|RTCB_MOUSE,D10Wsu52e,4,3,701,FALSE
726,T,Q9D1R9,sp|Q9D1R9|RL34_MOUSE,Rpl34,4,3,726,FALSE
732,T,Q9EPU0-2,sp|Q9EPU0-2|RENT1_MOUSE,Upf1,4,4,732,FALSE
369,T,E9Q557,sp|E9Q557|DESP_MOUSE,Dsp,3,3,369,FALSE
400,T,O88569-2,sp|O88569-2|ROA2_MOUSE,Hnrnpa2b1,3,3,400,FALSE
481,T,P47757-2,sp|P47757-2|CAPZB_MOUSE,Capzb,3,3,481,FALSE
560,T,P80315,sp|P80315|TCPD_MOUSE,Cct4,3,3,560,FALSE
575,T,Q01320,sp|Q01320|TOP2A_MOUSE,Top2a,3,3,575,FALSE
629,T,Q6NZJ6-2,sp|Q6NZJ6-2|IF4G1_MOUSE,Eif4g1,3,3,629,FALSE
636,T,Q6ZQ58,sp|Q6ZQ58|LARP1_MOUSE,Larp1,3,3,636,FALSE
673,T,Q8QZY1,sp|Q8QZY1|EIF3L_MOUSE,Eif3l,3,3,673,FALSE
679,T,Q8VEK3,sp|Q8VEK3|HNRPU_MOUSE,Hnrnpu,3,3,679,FALSE
704,T,Q99PL5,sp|Q99PL5|RRBP1_MOUSE,Rrbp1,3,3,704,FALSE
736,T,Q9JJ28,sp|Q9JJ28|FLII_MOUSE,Flii,3,3,736,FALSE
755,T,Q9Z1D1,sp|Q9Z1D1|EIF3G_MOUSE,Eif3g,3,3,755,FALSE
