,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
631,T,Q61140-2,sp|Q61140-2|BCAR1_MOUSE,Bcar1,135,40,631,FALSE
617,T,Q60598,sp|Q60598|SRC8_MOUSE,Cttn,74,28,617,FALSE
596,T,P97861,sp|P97861|KRT86_MOUSE,Krt86,34,14,596,FALSE
595,T,P97855,sp|P97855|G3BP1_MOUSE,G3bp1,32,13,595,FALSE
649,T,Q62418-2,sp|Q62418-2|DBNL_MOUSE,Dbnl,24,13,649,FALSE
392,T,O88569-2,sp|O88569-2|ROA2_MOUSE,Hnrnpa2b1,19,8,392,TRUE
584,T,P80318,sp|P80318|TCPG_MOUSE,Cct3,17,11,584,FALSE
640,T,Q61765,sp|Q61765|K1H1_MOUSE,Krt31,15,5,640,FALSE
736,T,Q99020,sp|Q99020|ROAA_MOUSE,Hnrnpab,15,3,736,FALSE
768,T,Q9CY58-2,sp|Q9CY58-2|PAIRB_MOUSE,Serbp1,12,10,768,FALSE
504,T,P56959,sp|P56959|FUS_MOUSE,Fus,11,5,504,FALSE
478,T,P42932,sp|P42932|TCPQ_MOUSE,Cct8,10,8,478,FALSE
810,T,Q9QZS8-2,sp|Q9QZS8-2|SH2D3_MOUSE,Sh2d3c,10,8,810,FALSE
823,T,Q9Z2T6,sp|Q9Z2T6|KRT85_MOUSE,Krt85,9,3,823,FALSE
832,T,UPSP:K1CQ_HUMAN_contaminant,UPSP:K1CQ_HUMAN_contaminant,UPSP:K1CQ_HUMAN_contaminant,9,6,832,FALSE
600,T,Q02257,sp|Q02257|PLAK_MOUSE,Jup,8,8,600,FALSE
646,T,Q62188,sp|Q62188|DPYL3_MOUSE,Dpysl3,8,7,646,FALSE
748,T,Q99M74,sp|Q99M74|KRT82_MOUSE,Krt82,8,4,748,FALSE
386,T,O35737,sp|O35737|HNRH1_MOUSE,Hnrnph1,7,5,386,FALSE
425,T,P11983-2,sp|P11983-2|TCPA_MOUSE,Tcp1,7,6,425,FALSE
518,T,P60867,sp|P60867|RS20_MOUSE,Rps20,7,3,518,FALSE
712,T,Q8VCG1,tr|Q8VCG1|Q8VCG1_MOUSE,Dut,7,6,712,FALSE
743,T,Q99KI0,sp|Q99KI0|ACON_MOUSE,Aco2,7,6,743,FALSE
463,T,P28656,sp|P28656|NP1L1_MOUSE,Nap1l1,6,3,463,FALSE
524,T,P61979-2,sp|P61979-2|HNRPK_MOUSE,Hnrnpk,6,5,524,FALSE
529,T,P62264,sp|P62264|RS14_MOUSE,Rps14,6,4,529,FALSE
545,T,P62849-2,sp|P62849-2|RS24_MOUSE,Rps24,6,3,545,FALSE
566,T,P63276,sp|P63276|RS17_MOUSE,Rps17,6,4,566,FALSE
572,T,P68040,sp|P68040|GBLP_MOUSE,Gnb2l1,6,4,572,FALSE
580,T,P80314,sp|P80314|TCPB_MOUSE,Cct2,6,5,580,FALSE
656,T,Q6NZJ6-2,sp|Q6NZJ6-2|IF4G1_MOUSE,Eif4g1,6,6,656,FALSE
791,T,Q9ERD7,sp|Q9ERD7|TBB3_MOUSE,Tubb3,6,4,791,FALSE
359,T,E9Q0Y0,tr|E9Q0Y0|E9Q0Y0_MOUSE,Gm4511,5,3,359,FALSE
409,T,P08113,sp|P08113|ENPL_MOUSE,Hsp90b1,5,3,409,FALSE
431,T,P14206,sp|P14206|RSSA_MOUSE,Rpsa,5,3,431,FALSE
521,T,P61255,sp|P61255|RL26_MOUSE,Rpl26,5,4,521,FALSE
528,T,P62245,sp|P62245|RS15A_MOUSE,Rps15a,5,4,528,FALSE
570,T,P67984,sp|P67984|RL22_MOUSE,Rpl22,5,3,570,FALSE
594,T,P97465,sp|P97465|DOK1_MOUSE,Dok1,5,5,594,FALSE
645,T,Q62167,sp|Q62167|DDX3X_MOUSE,Ddx3x,5,3,645,FALSE
717,T,Q8VIJ6,sp|Q8VIJ6|SFPQ_MOUSE,Sfpq,5,4,717,FALSE
719,T,Q91VR2,sp|Q91VR2|ATPG_MOUSE,Atp5c1,5,4,719,FALSE
751,T,Q99PL5,sp|Q99PL5|RRBP1_MOUSE,Rrbp1,5,4,751,FALSE
752,T,Q99PL5-2,sp|Q99PL5-2|RRBP1_MOUSE,Rrbp1,5,3,752,FALSE
766,T,Q9CXW4,sp|Q9CXW4|RL11_MOUSE,Rpl11,5,3,766,FALSE
