,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
876,T,Q60598,sp|Q60598|SRC8_MOUSE,Cttn,100,31,876,TRUE
891,T,Q61140-2,sp|Q61140-2|BCAR1_MOUSE,Bcar1,95,33,891,FALSE
842,T,P97855,sp|P97855|G3BP1_MOUSE,G3bp1,68,19,842,TRUE
883,T,Q60865,sp|Q60865|CAPR1_MOUSE,Caprin1,35,16,883,TRUE
906,T,Q61937,sp|Q61937|NPM_MOUSE,Npm1,34,13,906,TRUE
937,T,Q6NZJ6-2,sp|Q6NZJ6-2|IF4G1_MOUSE,Eif4g1,32,23,937,FALSE
995,T,Q8BTM8,sp|Q8BTM8|FLNA_MOUSE,Flna,32,28,995,FALSE
916,T,Q62418-2,sp|Q62418-2|DBNL_MOUSE,Dbnl,26,13,916,FALSE
627,T,P11983-2,sp|P11983-2|TCPA_MOUSE,Tcp1,24,17,627,FALSE
705,T,P42932,sp|P42932|TCPQ_MOUSE,Cct8,23,16,705,TRUE
1074,T,Q99LF4,sp|Q99LF4|RTCB_MOUSE,D10Wsu52e,17,12,1074,TRUE
828,T,P80317,sp|P80317|TCPZ_MOUSE,Cct6a,16,9,828,FALSE
838,T,P97379-2,sp|P97379-2|G3BP2_MOUSE,G3bp2,15,7,838,FALSE
897,T,Q61584-2,sp|Q61584-2|FXR1_MOUSE,Fxr1,15,11,897,FALSE
732,T,P52479-2,sp|P52479-2|UBP10_MOUSE,Usp10,14,10,732,FALSE
756,T,P60843,sp|P60843|IF4A1_MOUSE,Eif4a1,14,10,756,FALSE
950,T,Q6ZQ58,sp|Q6ZQ58|LARP1_MOUSE,Larp1,14,10,950,FALSE
664,T,P19096,sp|P19096|FAS_MOUSE,Fasn,13,12,664,FALSE
886,T,Q61024,sp|Q61024|ASNS_MOUSE,Asns,13,12,886,FALSE
948,T,Q6ZQ08-2,sp|Q6ZQ08-2|CNOT1_MOUSE,Cnot1,13,10,948,FALSE
1086,T,Q99PL5,sp|Q99PL5|RRBP1_MOUSE,Rrbp1,13,11,1086,FALSE
1088,T,Q99PL5-2,sp|Q99PL5-2|RRBP1_MOUSE,Rrbp1,13,9,1088,FALSE
1134,T,Q9EPU0-2,sp|Q9EPU0-2|RENT1_MOUSE,Upf1,13,12,1134,FALSE
827,T,P80316,sp|P80316|TCPE_MOUSE,Cct5,12,7,827,FALSE
963,T,Q7TSC1,sp|Q7TSC1|PRC2A_MOUSE,Prrc2a,12,6,963,FALSE
547,T,gi|51703339|sp|P62988|UBIQ_HUMAN_contaminant,gi|51703339|sp|P62988|UBIQ_HUMAN_contaminant,gi|51703339|sp|P62988|UBIQ_HUMAN_contaminant,11,5,547,FALSE
884,T,Q60899,sp|Q60899|ELAV2_MOUSE,Elavl2,11,8,884,FALSE
796,T,P62900,sp|P62900|RL31_MOUSE,Rpl31,10,6,796,FALSE
968,T,Q80X50-2,sp|Q80X50-2|UBP2L_MOUSE,Ubap2l,10,7,968,FALSE
1019,T,Q8JZQ9,sp|Q8JZQ9|EIF3B_MOUSE,Eif3b,10,8,1019,FALSE
1183,T,Q9Z1Q9,sp|Q9Z1Q9|SYVC_MOUSE,Vars,10,9,1183,FALSE
774,T,P62267,sp|P62267|RS23_MOUSE,Rps23,9,4,774,FALSE
887,T,Q61029-2,sp|Q61029-2|LAP2B_MOUSE,Tmpo,9,6,887,FALSE
969,T,Q80XI3-2,sp|Q80XI3-2|IF4G3_MOUSE,Eif4g3,9,9,969,FALSE
979,T,Q8BGQ7,sp|Q8BGQ7|SYAC_MOUSE,Aars,9,8,979,FALSE
1097,T,Q9CQQ7,sp|Q9CQQ7|AT5F1_MOUSE,Atp5f1,9,5,1097,FALSE
594,T,P05064,sp|P05064|ALDOA_MOUSE,Aldoa,8,6,594,FALSE
651,T,P16546-2,sp|P16546-2|SPTA2_MOUSE,Sptan1,8,6,651,FALSE
741,T,P57722-2,sp|P57722-2|PCBP3_MOUSE,Pcbp3,8,6,741,FALSE
754,T,P60335,sp|P60335|PCBP1_MOUSE,Pcbp1,8,5,754,FALSE
805,T,P63038-2,sp|P63038-2|CH60_MOUSE,Hspd1,8,3,805,FALSE
962,T,Q7TQH0-2,sp|Q7TQH0-2|ATX2L_MOUSE,Atxn2l,8,6,962,FALSE
1014,T,Q8CGC7,sp|Q8CGC7|SYEP_MOUSE,Eprs,8,8,1014,FALSE
1027,T,Q8R1B4,sp|Q8R1B4|EIF3C_MOUSE,Eif3c,8,6,1027,FALSE
1046,T,Q91VX2,sp|Q91VX2|UBAP2_MOUSE,Ubap2,8,6,1046,FALSE
1055,T,Q922Q8,sp|Q922Q8|LRC59_MOUSE,Lrrc59,8,4,1055,FALSE
1141,T,Q9JIK5,sp|Q9JIK5|DDX21_MOUSE,Ddx21,8,6,1141,FALSE
1185,T,Q9Z1Z2,sp|Q9Z1Z2|STRAP_MOUSE,Strap,8,8,1185,FALSE
595,T,P05202,sp|P05202|AATM_MOUSE,Got2,7,5,595,FALSE
