,Treatment,Accession,Reference,Gene.Symbol,Count,Unique,Row,enriched
387,H,UPSP:K1CI_HUMAN_contaminant,UPSP:K1CI_HUMAN_contaminant,UPSP:K1CI_HUMAN_contaminant,205,47,387,TRUE
239,H,Q61140-2,sp|Q61140-2|BCAR1_MOUSE,Bcar1,129,38,239,FALSE
230,H,Q60598,sp|Q60598|SRC8_MOUSE,Cttn,104,37,230,TRUE
281,H,Q8BH99,tr|Q8BH99|Q8BH99_MOUSE,Nck1,37,15,281,TRUE
399,H,UPSP:K2C5_HUMAN_contaminant,UPSP:K2C5_HUMAN_contaminant,UPSP:K2C5_HUMAN_contaminant,37,21,399,FALSE
391,H,UPSP:K1CN_HUMAN_contaminant,UPSP:K1CN_HUMAN_contaminant,UPSP:K1CN_HUMAN_contaminant,30,17,391,FALSE
256,H,Q62418-2,sp|Q62418-2|DBNL_MOUSE,Dbnl,22,11,256,FALSE
206,H,P97855,sp|P97855|G3BP1_MOUSE,G3bp1,18,9,206,FALSE
132,H,P58252,sp|P58252|EF2_MOUSE,Eef2,17,11,132,FALSE
77,H,P17182,sp|P17182|ENOA_MOUSE,Eno1,13,7,77,FALSE
195,H,P81605|DCD_HUMAN_contaminant,P81605|DCD_HUMAN_contaminant,P81605|DCD_HUMAN_contaminant,13,5,195,FALSE
232,H,Q60865,sp|Q60865|CAPR1_MOUSE,Caprin1,12,5,232,FALSE
400,H,UPSP:K2CA_HUMAN_contaminant,UPSP:K2CA_HUMAN_contaminant,UPSP:K2CA_HUMAN_contaminant,12,9,400,FALSE
105,H,P42932,sp|P42932|TCPQ_MOUSE,Cct8,10,7,105,FALSE
190,H,P80314,sp|P80314|TCPB_MOUSE,Cct2,10,7,190,FALSE
235,H,Q61024,sp|Q61024|ASNS_MOUSE,Asns,10,7,235,FALSE
375,H,Q9QZS8-2,sp|Q9QZS8-2|SH2D3_MOUSE,Sh2d3c,10,9,375,FALSE
60,H,P11983-2,sp|P11983-2|TCPA_MOUSE,Tcp1,9,7,60,FALSE
36,H,O89112,sp|O89112|LANC1_MOUSE,Lancl1,8,5,36,FALSE
191,H,P80315,sp|P80315|TCPD_MOUSE,Cct4,8,4,191,FALSE
194,H,P80318,sp|P80318|TCPG_MOUSE,Cct3,8,8,194,FALSE
349,H,Q9CY58-2,sp|Q9CY58-2|PAIRB_MOUSE,Serbp1,8,5,349,FALSE
146,H,P61979-2,sp|P61979-2|HNRPK_MOUSE,Hnrnpk,7,4,146,FALSE
211,H,Q02257,sp|Q02257|PLAK_MOUSE,Jup,7,6,211,FALSE
250,H,Q61937,sp|Q61937|NPM_MOUSE,Npm1,7,5,250,FALSE
394,H,UPSP:K1CX_HUMAN_contaminant,UPSP:K1CX_HUMAN_contaminant,UPSP:K1CX_HUMAN_contaminant,7,5,394,FALSE
17,H,E9Q557,sp|E9Q557|DESP_MOUSE,Dsp,6,6,17,FALSE
54,H,P10630-2,sp|P10630-2|IF4A2_MOUSE,Eif4a2,6,3,54,FALSE
